Generation,Species 0,Species 1,Species 2
15201,0.8564061164780615,1.3528422010481806,1.1535459385390545
15202,0.8584939570693743,1.353762312108679,1.1520420809087895
15203,0.8605835154089588,1.3546887012057864,1.1505346793965567
15204,0.862674766984882,1.3556213825389878,1.1490237441004516
15205,0.8647676871125958,1.3565603703075155,1.147509285215856
15206,0.8668622509348785,1.3575056787098632,1.1459913130355117
15207,0.8689584334217852,1.3584573219432916,1.14446983794959
15208,0.8710562093706087,1.3594153142033318,1.1429448704457545
15209,0.8731555534058486,1.360379669683281,1.1414164211092224
15210,0.8752564399791916,1.3613504025736938,1.1398845006228169
15211,0.8773588433694999,1.3623275270618669,1.138349119767018
15212,0.8794627376828114,1.3633110573313199,1.1368102894200067
15213,0.881568096852348,1.3643010075612696,1.1352680205577055
15214,0.8836748946385352,1.3652973919260984,1.1337223242538117
15215,0.885783104629031,1.3663002245948184,1.1321732116798284
15216,0.8878927002387651,1.3673095197305278,1.1306206941050887
15217,0.8900036547099891,1.3683252914898638,1.1290647828967755
15218,0.8921159411123357,1.3693475540224485,1.1275054895199357
15219,0.8942295323428898,1.3703763214703295,1.1259428255374895
15220,0.8963444011262687,1.371411607967415,1.124376802610235
15221,0.8984605200147135,1.372453427638903,1.1228074324968467
15222,0.900577861388192,1.373501794600704,1.1212347270538694
15223,0.9026963974545099,1.3745567229588582,1.1196586982357064
15224,0.9048161002494359,1.3756182268089494,1.1180793580946027
15225,0.9069369416368352,1.3766863202355077,1.1164967187806225
15226,0.9090588933088153,1.377761017311412,1.1149107925416222
15227,0.9111819267858821,1.378842332097283,1.1133215917232164
15228,0.9133060134171074,1.3799302786408705,1.1117291287687399
15229,0.915431124380308,1.3810248709764377,1.1101334162192038
15230,0.9175572306822355,1.3821261231241353,1.108534466713246
15231,0.919684303158777,1.3832340490893726,1.1069322929870755
15232,0.9218123124751685,1.3843486628621822,1.1053269078744128
15233,0.9239412291262188,1.385469978416577,1.1037183243064226
15234,0.9260710234365455,1.3865980097099033,1.1021065553116431
15235,0.9282016655608216,1.387732770682186,1.100491614015908
15236,0.9303331254840356,1.3888742752554697,1.098873513642263
15237,0.9324653730217614,1.3900225373331514,1.0972522675108771
