Generation,Species 0,Species 1,Species 2
8287,0.37349613495987133,2.2390650676924713,0.8818551754532588
8288,0.37350655002089705,2.239052639006805,0.8818566577008996
8289,0.3735169590963672,2.239040252771769,0.8818581194214009
8290,0.37352736216299565,2.239027908980406,0.8818595606309266
8291,0.3735377591975343,2.2390156076256478,0.8818609813456831
8292,0.3735481501767727,2.2390033487003143,0.881862381581919
8293,0.37355853507753817,2.2389911321971154,0.8818637613559254
8294,0.37356891387669594,2.23897895810865,0.8818651206840352
8295,0.37357928655114925,2.238966826427407,0.8818664595826238
8296,0.37358965307783903,2.2389547371457637,0.8818677780681083
8297,0.37360001343374427,2.2389426902559877,0.8818690761569479
8298,0.3736103675958819,2.2389306857502365,0.8818703538656433
8299,0.37362071554130694,2.238918723620557,0.8818716112107373
8300,0.3736310572471125,2.2389068038588875,0.8818728482088142
8301,0.3736413926904297,2.238894926457055,0.8818740648764999
8302,0.37365172184842776,2.2388830914067768,0.8818752612304616
8303,0.3736620446983142,2.2388712986996615,0.8818764372874078
8304,0.3736723612173346,2.2388595483272073,0.8818775930640889
8305,0.37368267138277284,2.238847840280804,0.8818787285772954
8306,0.37369297517195105,2.238836174551731,0.8818798438438602
8307,0.3737032725622296,2.238824551131159,0.8818809388806562
8308,0.3737135635310074,2.2388129700101507,0.8818820137045977
8309,0.3737238480557214,2.2388014311796582,0.88188306833264
8310,0.3737341261138472,2.2387899346305264,0.8818841027817785
8311,0.3737443976828987,2.2387784803534907,0.88188511706905
8312,0.3737546627404284,2.238767068339178,0.8818861112115314
8313,0.3737649212640272,2.238755698578107,0.8818870852263403
8314,0.37377517323132453,2.2387443710606885,0.8818880391306346
8315,0.3737854186199883,2.2387330857772243,0.8818889729416127
8316,0.37379565740772525,2.238721842717909,0.8818898866765129
8317,0.3738058895722805,2.2387106418728293,0.881890780352614
8318,0.3738161150914381,2.238699483231963,0.8818916539872346
8319,0.3738263339430205,2.2386883667851816,0.8818925075977333
8320,0.37383654610488914,2.2386772925222482,0.8818933412015088
8321,0.373846751554944,2.238666260432819,0.8818941548159992
8322,0.37385695027112403,2.238655270506443,0.8818949484586825
8323,0.3738671422314069,2.238644322732562,0.8818957221470762
8324,0.373877327413809,2.2386334171005102,0.8818964758987377
8325,0.37388750579638597,2.238622553599516,0.8818972097312632
8326,0.373897677357232,2.2386117322186996,0.8818979236622886
8327,0.3739078420744804,2.238600952947076,0.8818986177094892
8328,0.3739179999263034,2.2385902157735527,0.881899291890579
8329,0.3739281508909124,2.2385795206869314,0.8818999462233116
8330,0.37393829494655767,2.2385688676759075,0.881900580725479
8331,0.37394843207152856,2.23855825672907,0.8819011954149126
8332,0.37395856224415347,2.2385476878349015,0.8819017903094825
8333,0.3739686854428001,2.23853716098178,0.881902365427097
8334,0.3739788016458752,2.2385266761579765,0.8819029207857036
8335,0.3739889108318248,2.238516233351657,0.8819034564032884
8336,0.37399901297913396,2.2385058325508815,0.8819039722978754
8337,0.37400910806632715,2.2384954737436056,0.8819044684875276
8338,0.37401919607196815,2.238485156917679,0.8819049449903453
8339,0.37402927697465993,2.238474882060846,0.8819054018244682
8340,0.37403935075304484,2.238464649160747,0.8819058390080733
8341,0.3740494173858046,2.238454458204916,0.8819062565593755
8342,0.3740594768516604,2.238444309180784,0.8819066544966281
8343,0.3740695291293727,2.238434202075676,0.8819070328381219
8344,0.37407957419774157,2.238424136876813,0.8819073916021856
8345,0.3740896120356065,2.238414113571313,0.8819077308071855
8346,0.3740996426218465,2.238404132146187,0.8819080504715254
8347,0.3741096659353801,2.2383941925883444,0.8819083506136464
8348,0.37411968195516543,2.2383842948845896,0.8819086312520272
8349,0.3741296906602002,2.238374439021624,0.8819088924051838
8350,0.3741396920295217,2.2383646249860436,0.8819091340916689
8351,0.3741496860422069,2.2383548527643424,0.8819093563300731
8352,0.37415967267737255,2.238345122342911,0.8819095591390234
8353,0.37416965191417495,2.2383354337080363,0.8819097425371838
8354,0.37417962373181035,2.2383257868459014,0.8819099065432553
8355,0.37418958810951447,2.2383161817425874,0.8819100511759755
8356,0.37419954502656305,2.2383066183840725,0.881910176454119
8357,0.3742094944622716,2.2382970967562312,0.8819102823964964
8358,0.3742194363959953,2.2382876168448362,0.881910369021955
8359,0.37422937080712954,2.2382781786355577,0.8819104363493785
8360,0.3742392976751093,2.238268782113963,0.8819104843976872
8361,0.3742492169794096,2.238259427265518,0.8819105131858369
8362,0.3742591286995454,2.238250114075585,0.8819105227328202
8363,0.37426903281507173,2.238240842529426,0.8819105130576652
8364,0.3742789293055835,2.238231612612201,0.8819104841794362
8365,0.3742888181507157,2.238222424308967,0.8819104361172332
8366,0.3742986993301433,2.238213277604681,0.881910368890192
8367,0.3743085728235815,2.2382041724841977,0.8819102825174843
8368,0.3743184386107854,2.2381951089322705,0.8819101770183168
8369,0.37432829667155043,2.238186086933552,0.8819100524119321
8370,0.3743381469857121,2.238177106472594,0.8819099087176081
8371,0.374347989533146,2.2381681675338467,0.881909745954658
8372,0.3743578242937681,2.2381592701016597,0.88190956414243
8373,0.3743676512475345,2.238150414160282,0.8819093633003078
8374,0.3743774703744415,2.238141599693863,0.8819091434477099
