Generation,Species 0,Species 1,Species 2
2838,0.5172956589502024,0.8629062203062978,8.680591913352272
2839,0.5171593619672181,0.8617794028270203,8.672690181680112
2840,0.5170234744316401,0.8606543197764561,8.66479481367652
2841,0.5168879957043359,0.8595309680121607,8.656905806402547
2842,0.5167529251477421,0.858409344398182,8.649023156914016
2843,0.51661826212586,0.8572894458050466,8.641146862261566
2844,0.516484006004252,0.8561712691097453,8.633276919490667
2845,0.5163501561500367,0.8550548111957177,8.625413325641649
2846,0.5162167119318851,0.8539400689528386,8.617556077749722
2847,0.5160836727200169,0.8528270392774028,8.609705172845004
2848,0.5159510378861958,0.8517157190721111,8.601860607952554
2849,0.5158188068037257,0.8506061052460557,8.594022380092383
2850,0.5156869788474466,0.849498194714706,8.586190486279492
2851,0.5155555533937305,0.8483919843998939,8.578364923523885
2852,0.5154245298204775,0.8472874712298,8.570545688830606
2853,0.5152939075071116,0.8461846521389388,8.562732779199754
2854,0.5151636858345766,0.8450835240681446,8.554926191626514
2855,0.5150338641853325,0.8439840839645577,8.547125923101177
2856,0.5149044419433508,0.8428863287816096,8.539331970609169
2857,0.5147754184941115,0.8417902554790093,8.531544331131071
2858,0.5146467932245979,0.8406958610227289,8.52376300164265
2859,0.5145185655232939,0.8396031423849896,8.515987979114872
2860,0.5143907347801789,0.8385120965442477,8.50821926051394
2861,0.514263300386725,0.837422720485181,8.500456842801308
2862,0.5141362617358919,0.8363350111986736,8.49270072293371
2863,0.514009618222124,0.8352489656818034,8.484950897863182
2864,0.5138833692413458,0.8341645809378272,8.477207364537088
2865,0.5137575141909585,0.8330818539761673,8.469470119898142
2866,0.5136320524698356,0.8320007818123972,8.46173916088443
2867,0.5135069834783194,0.8309213614682284,8.454014484429441
2868,0.5133823066182172,0.829843589971496,8.44629608746208
2869,0.5132580212927972,0.8287674643561453,8.438583966906704
2870,0.5131341269067848,0.8276929816622183,8.430878119683133
2871,0.5130106228663588,0.826620138935839,8.423178542706683
2872,0.5128875085791473,0.825548933229201,8.415485232888186
2873,0.5127647834542245,0.824479361600553,8.40779818713401
2874,0.5126424469021063,0.8234114211141857,8.400117402346089
2875,0.5125204983347468,0.8223451088404181,8.392442875421942
2876,0.5123989371655346,0.8212804218555836,8.384774603254696
2877,0.512277762809289,0.8202173572420168,8.37711258273311
2878,0.5121569746822561,0.8191559120880405,8.369456810741598
2879,0.5120365722021051,0.8180960834879514,8.361807284160252
2880,0.5119165547879247,0.817037868542007,8.354163999864863
2881,0.5117969218602195,0.8159812643564126,8.346526954726947
2882,0.5116776728409059,0.8149262680433076,8.338896145613766
2883,0.5115588071533088,0.813872876720752,8.33127156938835
2884,0.5114403242221578,0.8128210875127136,8.32365322290952
2885,0.5113222234735832,0.8117708975490545,8.31604110303191
2886,0.5112045043351131,0.8107223039655178,8.308435206605992
2887,0.511087166235669,0.8096753039037146,8.300835530478093
2888,0.5109702086055625,0.8086298945111106,8.293242071490424
2889,0.5108536308764918,0.8075860729410131,8.285654826481098
2890,0.5107374324815377,0.8065438363525582,8.278073792284154
2891,0.5106216128551603,0.8055031819106971,8.270498965729574
2892,0.5105061714331954,0.8044641067861836,8.262930343643315
2893,0.5103911076528509,0.8034266081555609,8.255367922847322
2894,0.5102764209527031,0.8023906832011485,8.24781170015955
2895,0.5101621107726931,0.8013563291110295,8.240261672393993
2896,0.5100481765541236,0.8003235430790375,8.232717836360699
2897,0.5099346177396549,0.7992923223047439,8.225180188865796
2898,0.5098214337733018,0.7982626639934447,8.217648726711511
2899,0.5097086241004298,0.7972345653561481,8.21012344669619
2900,0.5095961881677518,0.7962080236095616,8.202604345614327
2901,0.5094841254233241,0.7951830359760788,8.195091420256574
2902,0.5093724353165437,0.794159599683767,8.187584667409771
2903,0.5092611172981444,0.7931377119663551,8.180084083856965
2904,0.509150170820193,0.7921173700632196,8.17258966637743
2905,0.5090395953360866,0.7910985712193731,8.165101411746692
2906,0.5089293903005483,0.7900813126854511,8.157619316736541
2907,0.5088195551696246,0.7890655917176997,8.150143378115065
2908,0.5087100894006815,0.7880514055779628,8.142673592646657
2909,0.5086009924524011,0.7870387515336696,8.13520995709205
2910,0.5084922637847781,0.7860276268578225,8.127752468208325
2911,0.5083839028591168,0.785018028828984,8.12030112274894
2912,0.5082759091380276,0.7840099547312648,8.112855917463747
2913,0.5081682820854231,0.7830034018543109,8.105416849099017
2914,0.5080610211665153,0.781998367493292,8.097983914397453
2915,0.5079541258478123,0.780994848948888,8.090557110098217
2916,0.5078475955971145,0.7799928435272778,8.083136432936948
2917,0.5077414298835115,0.7789923485401262,8.07572187964578
2918,0.5076356281773788,0.7779933613045721,8.068313446953368
2919,0.5075301899503747,0.776995879143216,8.060911131584907
2920,0.5074251146754364,0.7759998993841082,8.053514930262144
2921,0.5073204018267772,0.7750054193607359,8.04612483970341
2922,0.507216050879883,0.7740124364120117,8.03874085662363
2923,0.5071120613115091,0.7730209478822612,8.03136297773435
2924,0.5070084325996771,0.7720309511212109,8.023991199743755
2925,0.5069051642236712,0.7710424434839763,8.016625519356683
2926,0.5068022556640353,0.7700554223310497,8.009265933274659
2927,0.5066997064025697,0.7690698850282882,8.001912438195896
2928,0.5065975159223277,0.7680858289469017,7.994565030815332
2929,0.5064956837076129,0.767103251463441,7.987223707824637
2930,0.506394209243975,0.766122149959786,7.97988846591224
2931,0.5062930920182079,0.7651425218231335,7.972559301763345
2932,0.5061923315183452,0.7641643644459856,7.965236212059953
2933,0.506091927233658,0.7631876752261377,7.957919193480875
2934,0.5059918786546512,0.7622124515666668,7.950608242701763
2935,0.5058921852730606,0.7612386908759198,7.943303356395116
2936,0.5057928465818494,0.7602663905675011,7.936004531230312
2937,0.5056938620752057,0.7592955480602618,7.928711763873613
2938,0.5055952312485386,0.7583261607782874,7.921425050988199
2939,0.5054969535984754,0.7573582261508863,7.914144389234174
2940,0.5053990286228587,0.7563917416125783,7.906869775268595
2941,0.5053014558207432,0.7554267046030825,7.8996012057454825
2942,0.5052042346923921,0.7544631125673061,7.892338677315847
2943,0.5051073647392746,0.753500962955333,7.8850821866277006
2944,0.5050108454640629,0.7525402532224116,7.877831730326083
2945,0.5049146763706285,0.7515809808289439,7.870587305053074
2946,0.5048188569640394,0.7506231432404737,7.863348907447815
2947,0.5047233867505575,0.7496667379276756,7.856116534146526
