Generations,PopulationSize,SelectionCoefficient,StartAlleleFrequency,NumAlleles,AlleleFrequency
173,150,0.0015,0.6,150,1
174,150,0.0015,0.6,150,1
175,150,0.0015,0.6,150,1
176,150,0.0015,0.6,150,1
177,150,0.0015,0.6,150,1
178,150,0.0015,0.6,150,1
179,150,0.0015,0.6,150,1
180,150,0.0015,0.6,150,1
181,150,0.0015,0.6,150,1
182,150,0.0015,0.6,150,1
183,150,0.0015,0.6,150,1
184,150,0.0015,0.6,150,1
185,150,0.0015,0.6,150,1
186,150,0.0015,0.6,150,1
187,150,0.0015,0.6,150,1
188,150,0.0015,0.6,150,1
189,150,0.0015,0.6,150,1
190,150,0.0015,0.6,150,1
191,150,0.0015,0.6,150,1
192,150,0.0015,0.6,150,1
193,150,0.0015,0.6,150,1
194,150,0.0015,0.6,150,1
195,150,0.0015,0.6,150,1
196,150,0.0015,0.6,150,1
197,150,0.0015,0.6,150,1
198,150,0.0015,0.6,150,1
199,150,0.0015,0.6,150,1
0,150,0.0015,0.6,90,0.6
1,150,0.0015,0.6,99,0.66
2,150,0.0015,0.6,96,0.64
3,150,0.0015,0.6,93,0.62
4,150,0.0015,0.6,91,0.6066666666666667
5,150,0.0015,0.6,94,0.6266666666666667
6,150,0.0015,0.6,99,0.66
7,150,0.0015,0.6,97,0.6466666666666666
8,150,0.0015,0.6,100,0.6666666666666666
9,150,0.0015,0.6,101,0.6733333333333333
10,150,0.0015,0.6,99,0.66
11,150,0.0015,0.6,105,0.7
12,150,0.0015,0.6,105,0.7
13,150,0.0015,0.6,101,0.6733333333333333
14,150,0.0015,0.6,108,0.72
15,150,0.0015,0.6,103,0.6866666666666666
16,150,0.0015,0.6,98,0.6533333333333333
17,150,0.0015,0.6,89,0.5933333333333334
18,150,0.0015,0.6,88,0.5866666666666667
19,150,0.0015,0.6,94,0.6266666666666667
20,150,0.0015,0.6,91,0.6066666666666667
21,150,0.0015,0.6,98,0.6533333333333333
22,150,0.0015,0.6,94,0.6266666666666667
23,150,0.0015,0.6,89,0.5933333333333334
24,150,0.0015,0.6,91,0.6066666666666667
25,150,0.0015,0.6,101,0.6733333333333333
26,150,0.0015,0.6,116,0.7733333333333333
27,150,0.0015,0.6,116,0.7733333333333333
28,150,0.0015,0.6,115,0.7666666666666667
29,150,0.0015,0.6,116,0.7733333333333333
30,150,0.0015,0.6,113,0.7533333333333333
31,150,0.0015,0.6,103,0.6866666666666666
32,150,0.0015,0.6,104,0.6933333333333334
33,150,0.0015,0.6,100,0.6666666666666666
34,150,0.0015,0.6,100,0.6666666666666666
35,150,0.0015,0.6,90,0.6
36,150,0.0015,0.6,99,0.66
37,150,0.0015,0.6,85,0.5666666666666667
38,150,0.0015,0.6,91,0.6066666666666667
39,150,0.0015,0.6,87,0.58
40,150,0.0015,0.6,97,0.6466666666666666
41,150,0.0015,0.6,93,0.62
42,150,0.0015,0.6,105,0.7
43,150,0.0015,0.6,110,0.7333333333333333
44,150,0.0015,0.6,102,0.68
45,150,0.0015,0.6,101,0.6733333333333333
46,150,0.0015,0.6,98,0.6533333333333333
47,150,0.0015,0.6,93,0.62
48,150,0.0015,0.6,96,0.64
49,150,0.0015,0.6,99,0.66
50,150,0.0015,0.6,91,0.6066666666666667
51,150,0.0015,0.6,96,0.64
52,150,0.0015,0.6,88,0.5866666666666667
53,150,0.0015,0.6,84,0.56
54,150,0.0015,0.6,87,0.58
55,150,0.0015,0.6,99,0.66
56,150,0.0015,0.6,94,0.6266666666666667
57,150,0.0015,0.6,89,0.5933333333333334
58,150,0.0015,0.6,97,0.6466666666666666
59,150,0.0015,0.6,99,0.66
60,150,0.0015,0.6,91,0.6066666666666667
61,150,0.0015,0.6,99,0.66
62,150,0.0015,0.6,93,0.62
63,150,0.0015,0.6,93,0.62
64,150,0.0015,0.6,99,0.66
65,150,0.0015,0.6,93,0.62
66,150,0.0015,0.6,91,0.6066666666666667
67,150,0.0015,0.6,100,0.6666666666666666
68,150,0.0015,0.6,102,0.68
69,150,0.0015,0.6,103,0.6866666666666666
70,150,0.0015,0.6,108,0.72
71,150,0.0015,0.6,100,0.6666666666666666
72,150,0.0015,0.6,108,0.72
73,150,0.0015,0.6,104,0.6933333333333334
74,150,0.0015,0.6,108,0.72
75,150,0.0015,0.6,110,0.7333333333333333
76,150,0.0015,0.6,110,0.7333333333333333
77,150,0.0015,0.6,104,0.6933333333333334
78,150,0.0015,0.6,97,0.6466666666666666
79,150,0.0015,0.6,106,0.7066666666666667
80,150,0.0015,0.6,108,0.72
81,150,0.0015,0.6,118,0.7866666666666666
82,150,0.0015,0.6,116,0.7733333333333333
83,150,0.0015,0.6,123,0.82
84,150,0.0015,0.6,112,0.7466666666666667
85,150,0.0015,0.6,115,0.7666666666666667
86,150,0.0015,0.6,117,0.78
87,150,0.0015,0.6,124,0.8266666666666667
88,150,0.0015,0.6,116,0.7733333333333333
89,150,0.0015,0.6,119,0.7933333333333333
90,150,0.0015,0.6,110,0.7333333333333333
91,150,0.0015,0.6,107,0.7133333333333334
92,150,0.0015,0.6,101,0.6733333333333333
93,150,0.0015,0.6,99,0.66
94,150,0.0015,0.6,102,0.68
95,150,0.0015,0.6,98,0.6533333333333333
96,150,0.0015,0.6,99,0.66
97,150,0.0015,0.6,96,0.64
98,150,0.0015,0.6,102,0.68
99,150,0.0015,0.6,99,0.66
100,150,0.0015,0.6,93,0.62
101,150,0.0015,0.6,89,0.5933333333333334
102,150,0.0015,0.6,89,0.5933333333333334
103,150,0.0015,0.6,92,0.6133333333333333
104,150,0.0015,0.6,91,0.6066666666666667
105,150,0.0015,0.6,86,0.5733333333333334
106,150,0.0015,0.6,84,0.56
107,150,0.0015,0.6,84,0.56
108,150,0.0015,0.6,93,0.62
109,150,0.0015,0.6,91,0.6066666666666667
110,150,0.0015,0.6,90,0.6
111,150,0.0015,0.6,87,0.58
112,150,0.0015,0.6,80,0.5333333333333333
113,150,0.0015,0.6,84,0.56
